Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790095618,8,POST,/predict,6.300000,0.000000,78,130,130,140,150,170,190,190,190,190,190,160,0,77,90.49004296216481,26.978464993590023,730.0197770018713,158.63125
1790095618,8,,Aggregated,6.300000,0.000000,78,130,130,140,150,170,190,190,190,190,190,160,0,77,90.49004296216481,26.978464993590023,730.0197770018713,158.63125
1790095619,8,POST,/predict,6.300000,0.000000,83,130,140,140,160,180,190,190,190,190,190,166,0,78,92.0164090056931,26.978464993590023,730.0197770018713,158.6024096385542
1790095619,8,,Aggregated,6.300000,0.000000,83,130,140,140,160,180,190,190,190,190,190,166,0,78,92.0164090056931,26.978464993590023,730.0197770018713,158.6024096385542
1790095620,8,POST,/predict,6.300000,0.000000,79,130,130,140,160,180,190,190,190,190,190,170,0,78,91.2735505408337,26.978464993590023,730.0197770018713,158.58235294117648
1790095620,8,,Aggregated,6.300000,0.000000,79,130,130,140,160,180,190,190,190,190,190,170,0,78,91.2735505408337,26.978464993590023,730.0197770018713,158.58235294117648
1790095621,8,POST,/predict,6.100000,0.000000,79,130,130,140,160,180,190,190,190,190,190,178,0,67,89.95342100539612,26.978464993590023,730.0197770018713,158.56179775280899
1790095621,8,,Aggregated,6.100000,0.000000,79,130,130,140,160,180,190,190,190,190,190,178,0,67,89.95342100539612,26.978464993590023,730.0197770018713,158.56179775280899
1790095622,8,POST,/predict,6.000000,0.000000,84,130,140,140,160,180,190,190,190,190,190,184,0,77,90.50830913569688,26.978464993590023,730.0197770018713,158.53804347826087
1790095622,8,,Aggregated,6.000000,0.000000,84,130,140,140,160,180,190,190,190,190,190,184,0,77,90.50830913569688,26.978464993590023,730.0197770018713,158.53804347826087
1790095623,8,POST,/predict,6.300000,0.000000,86,130,140,140,160,180,190,190,190,190,190,189,0,77,90.3291650421418,26.978464993590023,730.0197770018713,158.53968253968253
